Episode no = 950; won: False; Q(s,a) = 62.64528093319481; reward = -281.0; and epsilon = 0.8733333333333333, win percentage = 0.0, 2022-05-01 19:41:34
Episode no = 960; won: False; Q(s,a) = 54.66459662173024; reward = -457.0; and epsilon = 0.872, win percentage = 0.0, 2022-05-01 19:41:38
Episode no = 970; won: False; Q(s,a) = 62.74950093080533; reward = -399.0; and epsilon = 0.8706666666666667, win percentage = 0.0, 2022-05-01 19:41:45
Episode no = 980; won: False; Q(s,a) = 63.88554699655996; reward = -421.0; and epsilon = 0.8693333333333333, win percentage = 0.0, 2022-05-01 19:41:46
Episode no = 990; won: False; Q(s,a) = 62.205468795394516; reward = -430.0; and epsilon = 0.868, win percentage = 0.0, 2022-05-01 19:41:51
Episode no = 1000; won: False; Q(s,a) = 55.770176773845215; reward = -429.0; and epsilon = 0.8666666666666667, win percentage = 0.0, 2022-05-01 19:41:53
Episode no = 1010; won: False; Q(s,a) = 70.40403351531643; reward = -391.0; and epsilon = 0.8653333333333333, win percentage = 0.0, 2022-05-01 19:41:57
Episode no = 1020; won: False; Q(s,a) = 69.4345829042664; reward = -477.0; and epsilon = 0.864, win percentage = 0.0, 2022-05-01 19:42:02
Episode no = 1030; won: False; Q(s,a) = 61.39988098615386; reward = -479.0; and epsilon = 0.8626666666666667, win percentage = 0.0, 2022-05-01 19:42:05
Episode no = 1040; won: False; Q(s,a) = nan; reward = -490.0; and epsilon = 0.8613333333333333, win percentage = 0.0, 2022-05-01 19:42:07
Episode no = 1050; won: False; Q(s,a) = 68.58621680288316; reward = -471.0; and epsilon = 0.86, win percentage = 0.0, 2022-05-01 19:42:10
Episode no = 1060; won: False; Q(s,a) = 63.898919892386814; reward = -386.0; and epsilon = 0.8586666666666667, win percentage = 0.0, 2022-05-01 19:42:15
Episode no = 1070; won: False; Q(s,a) = 68.77742382589518; reward = -435.0; and epsilon = 0.8573333333333333, win percentage = 0.0, 2022-05-01 19:42:17
Episode no = 1080; won: False; Q(s,a) = 61.60297022302502; reward = -439.0; and epsilon = 0.856, win percentage = 0.0, 2022-05-01 19:42:20
Episode no = 1090; won: False; Q(s,a) = 66.47707337597514; reward = -445.0; and epsilon = 0.8546666666666667, win percentage = 0.0, 2022-05-01 19:42:24
Episode no = 1100; won: False; Q(s,a) = 52.89299976403091; reward = -482.0; and epsilon = 0.8533333333333333, win percentage = 0.0, 2022-05-01 19:42:26
Episode no = 1110; won: False; Q(s,a) = 66.51423561575521; reward = -385.0; and epsilon = 0.852, win percentage = 0.0, 2022-05-01 19:42:30
Episode no = 1120; won: False; Q(s,a) = 72.96119677122327; reward = -454.0; and epsilon = 0.8506666666666667, win percentage = 0.0, 2022-05-01 19:42:35
Episode no = 1130; won: False; Q(s,a) = 74.4655247174132; reward = -435.0; and epsilon = 0.8493333333333333, win percentage = 0.0, 2022-05-01 19:42:39
Episode no = 1140; won: False; Q(s,a) = 80.175984976252; reward = -476.0; and epsilon = 0.848, win percentage = 0.0, 2022-05-01 19:42:41
Episode no = 1150; won: False; Q(s,a) = 73.91289298418582; reward = -434.0; and epsilon = 0.8466666666666667, win percentage = 0.0, 2022-05-01 19:42:46
Episode no = 1160; won: False; Q(s,a) = 66.04365190794888; reward = -407.0; and epsilon = 0.8453333333333333, win percentage = 0.0, 2022-05-01 19:42:48
Episode no = 1170; won: False; Q(s,a) = 53.96643122089446; reward = -469.0; and epsilon = 0.844, win percentage = 0.0, 2022-05-01 19:42:52
Episode no = 1180; won: False; Q(s,a) = 73.14513161899312; reward = -445.0; and epsilon = 0.8426666666666667, win percentage = 0.0, 2022-05-01 19:42:55
Episode no = 1190; won: False; Q(s,a) = 77.44096397916604; reward = -415.0; and epsilon = 0.8413333333333333, win percentage = 0.0, 2022-05-01 19:42:59
Episode no = 1200; won: False; Q(s,a) = 65.21323487207273; reward = -471.0; and epsilon = 0.84, win percentage = 0.0, 2022-05-01 19:43:03
Episode no = 1210; won: False; Q(s,a) = 66.91226126193939; reward = -460.0; and epsilon = 0.8386666666666667, win percentage = 0.0, 2022-05-01 19:43:06
Episode no = 1220; won: False; Q(s,a) = 82.1995380506341; reward = -475.0; and epsilon = 0.8373333333333334, win percentage = 0.0, 2022-05-01 19:43:09
Episode no = 1230; won: False; Q(s,a) = 68.13238364063852; reward = -286.0; and epsilon = 0.836, win percentage = 0.0, 2022-05-01 19:43:13
Episode no = 1240; won: False; Q(s,a) = 67.2924942803059; reward = -461.0; and epsilon = 0.8346666666666667, win percentage = 0.0, 2022-05-01 19:43:15
Episode no = 1250; won: False; Q(s,a) = 92.27754457968709; reward = -367.0; and epsilon = 0.8333333333333334, win percentage = 0.0, 2022-05-01 19:43:20
Episode no = 1260; won: False; Q(s,a) = 78.12857982571707; reward = -451.0; and epsilon = 0.832, win percentage = 0.0, 2022-05-01 19:43:23
Episode no = 1270; won: False; Q(s,a) = 80.84402213608269; reward = -321.0; and epsilon = 0.8306666666666667, win percentage = 0.0, 2022-05-01 19:43:27
Episode no = 1280; won: False; Q(s,a) = 67.90791591974238; reward = -429.0; and epsilon = 0.8293333333333334, win percentage = 0.0, 2022-05-01 19:43:31
Episode no = 1290; won: False; Q(s,a) = 87.55588069495606; reward = -422.0; and epsilon = 0.8280000000000001, win percentage = 0.0, 2022-05-01 19:43:37
Episode no = 1300; won: False; Q(s,a) = 72.7091949545062; reward = -314.0; and epsilon = 0.8266666666666667, win percentage = 0.0, 2022-05-01 19:43:41
Episode no = 1310; won: False; Q(s,a) = 115.01631698004937; reward = -472.0; and epsilon = 0.8253333333333334, win percentage = 0.0, 2022-05-01 19:43:44
Episode no = 1320; won: False; Q(s,a) = 76.46690067497627; reward = -419.0; and epsilon = 0.8240000000000001, win percentage = 0.0, 2022-05-01 19:43:49
Episode no = 1330; won: False; Q(s,a) = 72.95923729911705; reward = -420.0; and epsilon = 0.8226666666666667, win percentage = 0.0, 2022-05-01 19:43:51
Episode no = 1340; won: False; Q(s,a) = 87.91599509952185; reward = -463.0; and epsilon = 0.8213333333333334, win percentage = 0.0, 2022-05-01 19:43:53
Episode no = 1350; won: False; Q(s,a) = 81.96821729690515; reward = -462.0; and epsilon = 0.8200000000000001, win percentage = 0.0, 2022-05-01 19:43:59
Episode no = 1360; won: False; Q(s,a) = 89.13014065589736; reward = -462.0; and epsilon = 0.8186666666666667, win percentage = 0.0, 2022-05-01 19:44:02
Episode no = 1370; won: False; Q(s,a) = 77.4391639240833; reward = -469.0; and epsilon = 0.8173333333333334, win percentage = 0.0, 2022-05-01 19:44:06
Episode no = 1380; won: False; Q(s,a) = 72.74226450411676; reward = -480.0; and epsilon = 0.8160000000000001, win percentage = 0.0, 2022-05-01 19:44:09
Episode no = 1390; won: False; Q(s,a) = 76.44322720020112; reward = -490.0; and epsilon = 0.8146666666666667, win percentage = 0.0, 2022-05-01 19:44:14
Episode no = 1400; won: False; Q(s,a) = 90.01920652797615; reward = -379.0; and epsilon = 0.8133333333333334, win percentage = 0.0, 2022-05-01 19:44:21
Episode no = 1410; won: False; Q(s,a) = 87.41030004417513; reward = -387.0; and epsilon = 0.812, win percentage = 0.0, 2022-05-01 19:44:25
Episode no = 1420; won: False; Q(s,a) = 85.52050734664273; reward = -409.0; and epsilon = 0.8106666666666666, win percentage = 0.0, 2022-05-01 19:44:30
